state;action_reward;n_state
310&3|286&5|538&3|1176&4|258&1|750&5|990&4|539&4|304&3|894&1|1105&3|270&1;292&4|289&5|259&2|328&3;310&3|286&5|538&3|1176&4|258&1|750&5|990&4|539&4|304&3|894&1|1105&3|270&1|292&4|289&5|259&2|328&3
128&3|895&4|827&3|196&4|181&3|97&4|53&3|2&3|151&4|89&4|11&4|27&4;145&3|28&3|125&2|561&2;128&3|895&4|827&3|196&4|181&3|97&4|53&3|2&3|151&4|89&4|11&4|27&4|145&3|28&3|125&2|561&2
895&3|328&5|286&4|294&4|323&4|13&2|295&4|313&5|149&3|300&4|288&4|50&5;222&3|123&2|276&3|181&4;895&3|328&5|286&4|294&4|323&4|13&2|295&4|313&5|149&3|300&4|288&4|50&5|222&3|123&2|276&3|181&4
327&4|269&5|285&4|515&5|683&3|286&4|302&5|268&2|242&5|276&4|294&1|116&2;995&1|690&3|301&3|309&1;327&4|269&5|285&4|515&5|683&3|286&4|302&5|268&2|242&5|276&4|294&1|116&2|995&1|690&3|301&3|309&1
403&4|8&5|596&4|690&4|462&3|134&4|381&3|181&4|50&4|169&5|274&4|242&4;243&3|313&3|164&2|477&5;403&4|8&5|596&4|690&4|462&3|134&4|381&3|181&4|50&4|169&5|274&4|242&4|243&3|313&3|164&2|477&5
294&4|269&5|288&3|168&4|12&4|301&4|661&3|496&4|423&2|22&4|56&4|995&3;69&4|273&3|152&4|183&5;294&4|269&5|288&3|168&4|12&4|301&4|661&3|496&4|423&2|22&4|56&4|995&3|69&4|273&3|152&4|183&5
183&5|24&2|135&5|196&3|300&2|228&3|979&5|6&2|148&3|96&4|318&4|176&4;402&3|184&3|1169&4|131&3;183&5|24&2|135&5|196&3|300&2|228&3|979&5|6&2|148&3|96&4|318&4|176&4|402&3|184&3|1169&4|131&3
698&2|1098&3|404&5|466&2|286&2|517&4|152&4|614&5|507&5|1153&5|196&4|476&4;708&4|70&3|523&3|189&2;698&2|1098&3|404&5|466&2|286&2|517&4|152&4|614&5|507&5|1153&5|196&4|476&4|708&4|70&3|523&3|189&2
220&2|321&4|109&4|301&4|280&2|25&5|15&3|756&2|275&5|874&4|931&1|281&3;476&5|864&3|1061&4|1023&2;220&2|321&4|109&4|301&4|280&2|25&5|15&3|756&2|275&5|874&4|931&1|281&3|476&5|864&3|1061&4|1023&2
1121&2|172&3|86&3|64&4|286&4|651&3|654&4|772&1|153&4|514&3|192&3|205&4;923&5|45&3|187&5|127&5;1121&2|172&3|86&3|64&4|286&4|651&3|654&4|772&1|153&4|514&3|192&3|205&4|923&5|45&3|187&5|127&5
286&5|332&3|340&4|319&3|288&4|300&4|326&3|938&1|269&4|258&3|748&3|294&4;302&5|289&4|242&4|1038&4;286&5|332&3|340&4|319&3|288&4|300&4|326&3|938&1|269&4|258&3|748&3|294&4|302&5|289&4|242&4|1038&4
444&2|100&5|56&2|200&1|5&2|48&5|441&2|164&4|234&5|98&2|558&4|413&3;201&3|567&5|443&3|670&5;444&2|100&5|56&2|200&1|5&2|48&5|441&2|164&4|234&5|98&2|558&4|413&3|201&3|567&5|443&3|670&5
313&5|328&3|879&3|690&4|347&2|326&2|289&1|327&4|258&4|300&4|270&3|312&2;678&3|748&3|322&4|316&5;313&5|328&3|879&3|690&4|347&2|326&2|289&1|327&4|258&4|300&4|270&3|312&2|678&3|748&3|322&4|316&5
596&2|295&3|244&3|475&2|148&3|325&2|123&5|1017&4|121&4|508&3|281&3|298&4;930&2|925&3|978&2|286&3;596&2|295&3|244&3|475&2|148&3|325&2|123&5|1017&4|121&4|508&3|281&3|298&4|930&2|925&3|978&2|286&3
121&3|1011&3|135&1|659&3|356&4|275&4|762&2|655&3|316&5|527&4|69&3|26&3;371&3|610&4|97&4|71&2;121&3|1011&3|135&1|659&3|356&4|275&4|762&2|655&3|316&5|527&4|69&3|26&3|371&3|610&4|97&4|71&2
1287&1|289&2|295&4|15&5|7&4|477&1|117&5|288&4|294&3|508&1|151&2|678&2;214&1|1152&2|840&4|291&3;1287&1|289&2|295&4|15&5|7&4|477&1|117&5|288&4|294&3|508&1|151&2|678&2|214&1|1152&2|840&4|291&3
311&3|886&2|882&3|313&5|898&3|754&3|352&3|286&4|328&3|300&3|312&2|538&3;873&4|905&4|690&4|272&4;311&3|886&2|882&3|313&5|898&3|754&3|352&3|286&4|328&3|300&3|312&2|538&3|873&4|905&4|690&4|272&4
331&4|127&4|479&5|289&3|654&5|321&4|748&2|292&4|174&5|258&5|306&4|1545&4;50&4|484&3|191&3|173&5;331&4|127&4|479&5|289&3|654&5|321&4|748&2|292&4|174&5|258&5|306&4|1545&4|50&4|484&3|191&3|173&5
327&5|313&4|242&4|272&4|270&4|312&2|258&3|315&5|243&1|302&4|748&4|751&3;343&3|683&3|1296&4|689&3;327&5|313&4|242&4|272&4|270&4|312&2|258&3|315&5|243&1|302&4|748&4|751&3|343&3|683&3|1296&4|689&3
257&3|172&5|479&5|178&5|15&4|763&3|181&5|100&3|423&5|596&5|69&5|845&3;126&5|471&4|111&4|283&2;257&3|172&5|479&5|178&5|15&4|763&3|181&5|100&3|423&5|596&5|69&5|845&3|126&5|471&4|111&4|283&2
125&3|15&4|223&5|476&3|1047&3|405&4|50&4|742&4|275&4|121&4|1&4|118&3;25&4|300&4|864&4|127&4;125&3|15&4|223&5|476&3|1047&3|405&4|50&4|742&4|275&4|121&4|1&4|118&3|25&4|300&4|864&4|127&4
258&4|109&4|541&3|313&5|431&3|423&4|222&4|228&5|227&4|40&4|108&3|172&4;449&2|450&2|25&3|165&1;258&4|109&4|541&3|313&5|431&3|423&4|222&4|228&5|227&4|40&4|108&3|172&4|449&2|450&2|25&3|165&1
79&4|173&1|333&4|117&5|127&4|709&4|914&3|208&2|183&5|176&5|213&3|197&3;7&3|427&4|218&4|200&3;79&4|173&1|333&4|117&5|127&4|709&4|914&3|208&2|183&5|176&5|213&3|197&3|7&3|427&4|218&4|200&3
350&4|313&5|877&5|749&4|750&5|347&4|352&4|332&4|259&4|1280&3|322&4|310&4;1313&4|305&3|875&4|316&4;350&4|313&5|877&5|749&4|750&5|347&4|352&4|332&4|259&4|1280&3|322&4|310&4|1313&4|305&3|875&4|316&4
258&4|717&3|833&3|1291&2|299&4|304&3|92&5|129&4|4&5|125&4|307&4|1014&3;273&5|349&3|1016&5|338&3;258&4|717&3|833&3|1291&2|299&4|304&3|92&5|129&4|4&5|125&4|307&4|1014&3|273&5|349&3|1016&5|338&3
257&5|756&3|678&4|10&4|7&4|473&4|260&2|719&3|265&4|282&4|230&4|198&5;1140&3|1139&3|1210&2|385&4;257&5|756&3|678&4|10&4|7&4|473&4|260&2|719&3|265&4|282&4|230&4|198&5|1140&3|1139&3|1210&2|385&4
432&3|663&4|208&4|191&4|504&4|482&5|435&3|478&4|609&3|100&4|613&3|289&2;607&4|134&4|490&4|505&4;432&3|663&4|208&4|191&4|504&4|482&5|435&3|478&4|609&3|100&4|613&3|289&2|607&4|134&4|490&4|505&4
614&4|49&3|694&5|230&5|199&3|511&5|510&4|648&3|2&4|195&4|275&5|378&5;62&4|141&4|561&3|720&4;614&4|49&3|694&5|230&5|199&3|511&5|510&4|648&3|2&4|195&4|275&5|378&5|62&4|141&4|561&3|720&4
200&4|246&4|50&5|17&5|334&4|774&4|7&5|670&4|665&5|333&4|184&5|672&4;564&2|53&4|145&3|443&4;200&4|246&4|50&5|17&5|334&4|774&4|7&5|670&4|665&5|333&4|184&5|672&4|564&2|53&4|145&3|443&4
81&3|10&5|168&4|47&2|187&5|134&5|652&5|612&5|483&5|209&5|505&5|340&5;491&5|304&1|116&5|208&3;81&3|10&5|168&4|47&2|187&5|134&5|652&5|612&5|483&5|209&5|505&5|340&5|491&5|304&1|116&5|208&3
234&4|648&3|447&3|95&3|226&3|91&5|837&3|481&4|550&3|183&4|504&3|198&4;366&3|386&3|559&4|630&3;234&4|648&3|447&3|95&3|226&3|91&5|837&3|481&4|550&3|183&4|504&3|198&4|366&3|386&3|559&4|630&3
249&4|118&3|25&2|553&3|678&3|71&3|448&2|470&3|11&3|123&4|432&5|405&3;229&3|99&4|82&4|88&2;249&4|118&3|25&2|553&3|678&3|71&3|448&2|470&3|11&3|123&4|432&5|405&3|229&3|99&4|82&4|88&2
60&5|241&3|540&1|252&3|1303&1|588&3|654&5|546&4|569&3|205&5|1178&1|405&2;717&1|268&5|328&1|259&3;60&5|241&3|540&1|252&3|1303&1|588&3|654&5|546&4|569&3|205&5|1178&1|405&2|717&1|268&5|328&1|259&3
292&3|840&2|405&4|274&3|1197&4|1048&3|991&3|282&4|290&3|1&3|116&3|331&4;293&3|690&3|341&2|269&4;292&3|840&2|405&4|274&3|1197&4|1048&3|991&3|282&4|290&3|1&3|116&3|331&4|293&3|690&3|341&2|269&4
1301&3|211&5|258&3|153&4|23&5|157&4|603&5|30&3|433&4|639&4|12&5|250&5;145&3|449&3|227&2|503&4;1301&3|211&5|258&3|153&4|23&5|157&4|603&5|30&3|433&4|639&4|12&5|250&5|145&3|449&3|227&2|503&4
230&1|265&4|56&3|597&4|172&5|184&4|578&4|176&5|228&4|403&4|79&5|281&3;132&4|157&4|208&4|204&5;230&1|265&4|56&3|597&4|172&5|184&4|578&4|176&5|228&4|403&4|79&5|281&3|132&4|157&4|208&4|204&5
476&1|13&3|282&3|50&4|294&3|1134&1|756&1|815&1|1382&3|284&1|276&4|1079&2;253&4|100&5|127&5|310&4;476&1|13&3|282&3|50&4|294&3|1134&1|756&1|815&1|1382&3|284&1|276&4|1079&2|253&4|100&5|127&5|310&4
255&2|25&4|274&4|845&3|248&2|355&3|1059&5|257&3|819&3|310&4|249&1|1038&2;1&4|833&5|409&3|117&1;255&2|25&4|274&4|845&3|248&2|355&3|1059&5|257&3|819&3|310&4|249&1|1038&2|1&4|833&5|409&3|117&1
1298&4|845&4|286&5|274&5|847&5|610&5|228&5|93&5|503&3|952&3|428&5|492&3;561&3|627&2|163&4|231&1;1298&4|845&4|286&5|274&5|847&5|610&5|228&5|93&5|503&3|952&3|428&5|492&3|561&3|627&2|163&4|231&1
58&4|9&4|655&3|192&4|515&3|12&3|480&5|197&5|64&3|528&4|211&4|187&5;22&3|646&4|318&4|510&4;58&4|9&4|655&3|192&4|515&3|12&3|480&5|197&5|64&3|528&4|211&4|187&5|22&3|646&4|318&4|510&4
148&3|332&5|471&4|336&3|271&3|222&4|304&3|237&3|321&3|619&3|458&3|100&1;282&1|742&3|50&5|815&4;148&3|332&5|471&4|336&3|271&3|222&4|304&3|237&3|321&3|619&3|458&3|100&1|282&1|742&3|50&5|815&4
880&3|995&1|358&1|749&4|268&4|1234&1|349&2|1591&1|272&5|245&2|690&1|872&1;266&1|1127&3|680&1|882&1;880&3|995&1|358&1|749&4|268&4|1234&1|349&2|1591&1|272&5|245&2|690&1|872&1|266&1|1127&3|680&1|882&1
237&3|286&5|471&4|298&5|294&3|121&4|845&3|181&3|546&3|125&3|756&3|405&4;476&3|255&3|252&3|111&4;237&3|286&5|471&4|298&5|294&3|121&4|845&3|181&3|546&3|125&3|756&3|405&4|476&3|255&3|252&3|111&4
475&5|237&4|1006&2|652&5|268&5|568&4|228&5|124&5|1097&5|709&5|514&5|64&5;405&2|741&2|1105&2|120&2;475&5|237&4|1006&2|652&5|268&5|568&4|228&5|124&5|1097&5|709&5|514&5|64&5|405&2|741&2|1105&2|120&2
204&2|427&4|100&4|260&4|864&1|743&1|148&3|820&1|834&1|496&4|135&4|127&4;443&4|389&2|416&3|699&3;204&2|427&4|100&4|260&4|864&1|743&1|148&3|820&1|834&1|496&4|135&4|127&4|443&4|389&2|416&3|699&3
121&5|762&4|939&4|655&5|83&5|785&4|372&5|733&5|380&5|790&1|716&1|747&4;79&3|462&5|961&5|631&5;121&5|762&4|939&4|655&5|83&5|785&4|372&5|733&5|380&5|790&1|716&1|747&4|79&3|462&5|961&5|631&5
278&3|328&2|756&4|696&5|1014&2|121&1|471&4|763&3|237&5|268&4|312&2|751&2;150&5|9&5|276&5|476&5;278&3|328&2|756&4|696&5|1014&2|121&1|471&4|763&3|237&5|268&4|312&2|751&2|150&5|9&5|276&5|476&5
938&5|333&5|874&5|1296&5|242&5|330&5|326&5|1025&5|340&5|302&5|984&5|300&5;173&3|8&2|168&4|258&5;938&5|333&5|874&5|1296&5|242&5|330&5|326&5|1025&5|340&5|302&5|984&5|300&5|173&3|8&2|168&4|258&5
1024&5|324&5|332&5|690&4|288&2|259&2|286&5|312&4|310&4|991&4|990&5|898&5;899&5|289&1|299&5|245&4;1024&5|324&5|332&5|690&4|288&2|259&2|286&5|312&4|310&4|991&4|990&5|898&5|899&5|289&1|299&5|245&4
188&2|797&2|2&2|233&3|5&3|172&3|809&3|930&2|11&3|79&2|568&2|445&2;785&2|663&3|316&3|235&3;188&2|797&2|2&2|233&3|5&3|172&3|809&3|930&2|11&3|79&2|568&2|445&2|785&2|663&3|316&3|235&3
126&4|121&4|276&4|147&5|1&5|25&1|286&2|288&2|279&3|476&3|235&5|472&3;841&2|405&2|122&3|756&4;126&4|121&4|276&4|147&5|1&5|25&1|286&2|288&2|279&3|476&3|235&5|472&3|841&2|405&2|122&3|756&4
237&3|924&4|1&4|744&4|25&5|515&5|9&4|286&5|742&4|258&5|121&4|15&4;118&2|546&2|257&2|117&3;237&3|924&4|1&4|744&4|25&5|515&5|9&4|286&5|742&4|258&5|121&4|15&4|118&2|546&2|257&2|117&3
1047&5|121&4|250&1|274&3|620&4|117&4|410&4|300&4|508&5|742&4|109&2|844&4;864&2|678&4|255&5|15&4;1047&5|121&4|250&1|274&3|620&4|117&4|410&4|300&4|508&5|742&4|109&2|844&4|864&2|678&4|255&5|15&4
891&5|300&3|272&3|990&5|313&5|682&4|881&4|288&3|538&1|1243&5|334&5|307&3;362&5|1105&5|1025&5|882&5;891&5|300&3|272&3|990&5|313&5|682&4|881&4|288&3|538&1|1243&5|334&5|307&3|362&5|1105&5|1025&5|882&5
222&5|121&5|250&3|181&5|50&5|685&4|405&3|546&4|118&4|117&5|258&4|257&4;265&5|739&5|252&5|210&5;222&5|121&5|250&3|181&5|50&5|685&4|405&3|546&4|118&4|117&5|258&4|257&4|265&5|739&5|252&5|210&5
664&3|132&4|519&5|945&3|169&5|606&4|884&5|97&3|272&4|297&5|176&3|191&4;708&4|432&5|428&4|1018&3;664&3|132&4|519&5|945&3|169&5|606&4|884&5|97&3|272&4|297&5|176&3|191&4|708&4|432&5|428&4|1018&3
542&3|624&3|597&3|62&3|28&4|473&3|420&2|304&3|393&3|588&3|515&3|930&3;162&3|470&3|423&4|679&3;542&3|624&3|597&3|62&3|28&4|473&3|420&2|304&3|393&3|588&3|515&3|930&3|162&3|470&3|423&4|679&3
3&1|418&3|195&3|860&1|135&2|554&1|423&3|8&4|403&2|367&4|89&4|742&3;161&3|143&5|383&3|402&4;3&1|418&3|195&3|860&1|135&2|554&1|423&3|8&4|403&2|367&4|89&4|742&3|161&3|143&5|383&3|402&4
332&5|302&4|286&4|989&5|268&5|990&5|328&4|881&5|1296&5|331&4|292&2|681&5;937&5|334&5|680&5|688&5;332&5|302&4|286&4|989&5|268&5|990&5|328&4|881&5|1296&5|331&4|292&2|681&5|937&5|334&5|680&5|688&5
4&4|631&5|215&5|114&5|882&3|568&1|269&5|347&1|664&5|13&1|935&3|303&4;223&5|179&5|855&5|879&4;4&4|631&5|215&5|114&5|882&3|568&1|269&5|347&1|664&5|13&1|935&3|303&4|223&5|179&5|855&5|879&4
151&4|815&4|1001&1|50&5|827&3|291&4|825&4|237&4|264&3|222&4|411&4|100&5;460&4|975&4|472&4|928&4;151&4|815&4|1001&1|50&5|827&3|291&4|825&4|237&4|264&3|222&4|411&4|100&5|460&4|975&4|472&4|928&4
238&4|151&3|39&4|1008&4|97&4|285&3|1326&4|483&4|582&4|988&3|740&3|125&3;1069&4|1441&2|535&3|552&1;238&4|151&3|39&4|1008&4|97&4|285&3|1326&4|483&4|582&4|988&3|740&3|125&3|1069&4|1441&2|535&3|552&1
181&5|182&3|603&3|132&4|50&5|210&4|479&3|184&3|203&4|705&1|655&3|173&5;64&4|83&5|172&5|679&3;181&5|182&3|603&3|132&4|50&5|210&4|479&3|184&3|203&4|705&1|655&3|173&5|64&4|83&5|172&5|679&3
373&3|388&3|188&2|194&3|80&3|554&3|426&3|181&5|29&3|447&3|231&4|746&4;386&2|135&4|28&4|78&2;373&3|388&3|188&2|194&3|80&3|554&3|426&3|181&5|29&3|447&3|231&4|746&4|386&2|135&4|28&4|78&2
82&4|28&4|315&3|186&4|259&3|189&4|124&4|514&5|91&5|362&3|294&3|338&2;55&2|425&4|42&4|176&5;82&4|28&4|315&3|186&4|259&3|189&4|124&4|514&5|91&5|362&3|294&3|338&2|55&2|425&4|42&4|176&5
285&3|661&5|265&5|210&3|175&3|493&5|257&5|322&3|494&3|523&3|607&5|56&2;238&4|42&3|172&4|443&5;285&3|661&5|265&5|210&3|175&3|493&5|257&5|322&3|494&3|523&3|607&5|56&2|238&4|42&3|172&4|443&5
100&4|529&4|186&4|514&4|199&5|179&5|435&3|523&3|484&5|498&4|493&4|58&3;402&2|107&2|554&1|614&4;100&4|529&4|186&4|514&4|199&5|179&5|435&3|523&3|484&5|498&4|493&4|58&3|402&2|107&2|554&1|614&4
286&3|282&4|333&4|259&2|307&4|300&4|294&2|301&1|538&4|245&4|748&3|323&3;125&2|395&3|96&4|699&5;286&3|282&4|333&4|259&2|307&4|300&4|294&2|301&1|538&4|245&4|748&3|323&3|125&2|395&3|96&4|699&5
1009&5|950&2|16&2|151&5|535&1|111&4|9&3|472&3|596&3|328&4|258&4|476&3;1049&1|225&3|1047&1|278&3;1009&5|950&2|16&2|151&5|535&1|111&4|9&3|472&3|596&3|328&4|258&4|476&3|1049&1|225&3|1047&1|278&3
186&5|22&2|127&5|50&5|79&3|678&3|55&4|194&4|180&3|854&5|484&2|153&3;117&5|121&2|405&4|235&3;186&5|22&2|127&5|50&5|79&3|678&3|55&4|194&4|180&3|854&5|484&2|153&3|117&5|121&2|405&4|235&3
310&3|538&5|286&4|990&5|300&2|333&5|275&5|969&1|323&5|508&3|294&5|100&5;840&4|25&4|15&4|740&5;310&3|538&5|286&4|990&5|300&2|333&5|275&5|969&1|323&5|508&3|294&5|100&5|840&4|25&4|15&4|740&5
1284&3|498&3|220&3|377&3|705&4|394&4|112&3|926&4|961&1|692&4|283&5|659&4;140&4|768&4|1076&3|1425&4;1284&3|498&3|220&3|377&3|705&4|394&4|112&3|926&4|961&1|692&4|283&5|659&4|140&4|768&4|1076&3|1425&4
100&2|475&5|9&4|324&5|276&2|547&4|124&1|327&3|288&4|1084&5|125&2|15&2;823&3|123&4|1008&5|253&5;100&2|475&5|9&4|324&5|276&2|547&4|124&1|327&3|288&4|1084&5|125&2|15&2|823&3|123&4|1008&5|253&5
1109&3|357&5|175&3|634&5|209&4|50&4|671&5|197&4|180&5|431&3|427&4|129&2;499&5|172&5|429&5|19&3;1109&3|357&5|175&3|634&5|209&4|50&4|671&5|197&4|180&5|431&3|427&4|129&2|499&5|172&5|429&5|19&3
514&4|340&2|202&3|56&3|302&3|1103&4|1070&3|1404&3|603&4|124&3|172&3|269&4;229&2|652&5|591&4|54&2;514&4|340&2|202&3|56&3|302&3|1103&4|1070&3|1404&3|603&4|124&3|172&3|269&4|229&2|652&5|591&4|54&2
307&1|877&4|286&3|751&4|294&5|326&1|328&5|339&5|304&5|258&2|323&2|300&5;271&3|338&3|689&4|289&3;307&1|877&4|286&3|751&4|294&5|326&1|328&5|339&5|304&5|258&2|323&2|300&5|271&3|338&3|689&4|289&3
125&3|866&3|271&3|678&3|282&5|844&2|126&3|456&3|264&2|864&3|8&4|988&4;11&3|144&3|419&3|763&5;125&3|866&3|271&3|678&3|282&5|844&2|126&3|456&3|264&2|864&3|8&4|988&4|11&3|144&3|419&3|763&5
215&4|753&5|202&4|195&4|480&4|71&4|15&5|200&1|133&4|174&5|157&5|416&3;238&5|216&5|318&5|4&5;215&4|753&5|202&4|195&4|480&4|71&4|15&5|200&1|133&4|174&5|157&5|416&3|238&5|216&5|318&5|4&5
906&2|286&2|766&4|251&5|285&5|408&4|1137&4|9&3|276&2|321&4|304&2|129&2;1105&2|269&2|333&2|271&2;906&2|286&2|766&4|251&5|285&5|408&4|1137&4|9&3|276&2|321&4|304&2|129&2|1105&2|269&2|333&2|271&2
185&3|527&5|121&4|486&3|652&3|496&5|993&4|311&3|596&3|202&3|204&4|91&2;23&4|252&4|88&5|546&3;185&3|527&5|121&4|486&3|652&3|496&5|993&4|311&3|596&3|202&3|204&4|91&2|23&4|252&4|88&5|546&3
97&3|195&3|1558&3|271&1|50&4|185&5|508&3|51&5|275&4|95&2|187&4|591&3;117&4|276&4|402&5|66&3;97&3|195&3|1558&3|271&1|50&4|185&5|508&3|51&5|275&4|95&2|187&4|591&3|117&4|276&4|402&5|66&3
1&4|181&5|748&3|13&5|100&4|988&3|222&3|117&3|328&4|301&4|284&3|294&4;742&4|1014&3|151&5|597&2;1&4|181&5|748&3|13&5|100&4|988&3|222&3|117&3|328&4|301&4|284&3|294&4|742&4|1014&3|151&5|597&2
324&3|683&3|303&4|302&5|268&4|305&5|269&4|292&4|307&4|262&5|322&2|874&3;323&2|301&4|995&3|327&4;324&3|683&3|303&4|302&5|268&4|305&5|269&4|292&4|307&4|262&5|322&2|874&3|323&2|301&4|995&3|327&4
1233&1|333&4|337&2|690&2|1176&1|896&4|1022&1|1313&1|314&1|873&3|310&5|1024&1;891&2|361&1|1127&4|1434&1;1233&1|333&4|337&2|690&2|1176&1|896&4|1022&1|1313&1|314&1|873&3|310&5|1024&1|891&2|361&1|1127&4|1434&1
650&3|1&2|268&3|135&5|28&3|187&5|179&5|507&3|213&4|154&5|433&4|894&1;289&2|269&4|683&2|202&2;650&3|1&2|268&3|135&5|28&3|187&5|179&5|507&3|213&4|154&5|433&4|894&1|289&2|269&4|683&2|202&2
451&2|566&4|527&4|655&5|132&3|50&3|562&2|433&3|808&2|642&2|467&5|559&2;162&3|485&3|90&3|971&3;451&2|566&4|527&4|655&5|132&3|50&3|562&2|433&3|808&2|642&2|467&5|559&2|162&3|485&3|90&3|971&3
319&2|321&2|292&3|322&4|259&4|325&4|286&2|243&1|288&3|687&2|323&2|304&3;678&3|245&2|989&2|991&3;319&2|321&2|292&3|322&4|259&4|325&4|286&2|243&1|288&3|687&2|323&2|304&3|678&3|245&2|989&2|991&3
294&5|751&3|340&5|312&3|300&4|288&3|327&5|245&4|271&3|333&4|270&4|750&5;264&5|302&5|872&5|313&5;294&5|751&3|340&5|312&3|300&4|288&3|327&5|245&4|271&3|333&4|270&4|750&5|264&5|302&5|872&5|313&5
1073&2|443&4|77&4|684&4|566&4|302&5|525&4|939&3|233&4|773&3|183&5|218&3;583&2|1217&4|761&3|44&3;1073&2|443&4|77&4|684&4|566&4|302&5|525&4|939&3|233&4|773&3|183&5|218&3|583&2|1217&4|761&3|44&3
114&4|25&4|821&3|732&4|4&4|255&4|50&5|482&5|200&5|501&4|243&2|152&5;502&3|751&4|755&3|451&3;114&4|25&4|821&3|732&4|4&4|255&4|50&5|482&5|200&5|501&4|243&2|152&5|502&3|751&4|755&3|451&3
966&5|190&4|155&4|389&4|451&4|385&4|186&5|164&5|403&4|194&4|115&5|43&4;1028&5|1040&2|386&4|704&5;966&5|190&4|155&4|389&4|451&4|385&4|186&5|164&5|403&4|194&4|115&5|43&4|1028&5|1040&2|386&4|704&5
1171&3|813&4|286&4|14&4|289&3|319&4|1137&3|9&5|300&4|476&4|222&2|124&5;284&3|277&1|924&1|13&4;1171&3|813&4|286&4|14&4|289&3|319&4|1137&3|9&5|300&4|476&4|222&2|124&5|284&3|277&1|924&1|13&4
687&1|751&4|984&5|313&5|322&5|258&4|748&2|288&3|286&1|294&3|323&5|347&5;894&4|343&4|243&3|688&3;687&1|751&4|984&5|313&5|322&5|258&4|748&2|288&3|286&1|294&3|323&5|347&5|894&4|343&4|243&3|688&3
496&5|485&5|429&5|432&5|120&3|544&5|199&5|69&5|866&4|111&5|657&5|216&5;416&3|467&4|60&5|186&3;496&5|485&5|429&5|432&5|120&3|544&5|199&5|69&5|866&4|111&5|657&5|216&5|416&3|467&4|60&5|186&3
412&4|287&4|235&5|930&3|28&5|87&5|181&4|597&4|1137&5|12&3|250&2|50&5;354&5|591&4|226&3|684&4;412&4|287&4|235&5|930&3|28&5|87&5|181&4|597&4|1137&5|12&3|250&2|50&5|354&5|591&4|226&3|684&4
275&3|713&3|15&3|93&2|1368&2|694&4|22&3|16&3|1466&3|1148&3|283&3|632&5;8&5|582&5|514&4|194&4;275&3|713&3|15&3|93&2|1368&2|694&4|22&3|16&3|1466&3|1148&3|283&3|632&5|8&5|582&5|514&4|194&4
332&3|873&3|294&2|879&4|271&3|333&4|302&4|292&4|300&5|682&4|304&4|307&1;1025&4|887&2|264&3|299&4;332&3|873&3|294&2|879&4|271&3|333&4|302&4|292&4|300&5|682&4|304&4|307&1|1025&4|887&2|264&3|299&4
532&2|748&2|323&3|596&5|343&2|1255&2|299&3|750&4|246&5|340&3|50&3|421&3;260&2|484&4|914&2|187&5;532&2|748&2|323&3|596&5|343&2|1255&2|299&3|750&4|246&5|340&3|50&3|421&3|260&2|484&4|914&2|187&5
321&1|10&3|736&4|179&1|52&5|14&4|531&4|382&5|301&4|45&5|319&5|381&4;547&4|1148&3|20&4|714&4;321&1|10&3|736&4|179&1|52&5|14&4|531&4|382&5|301&4|45&5|319&5|381&4|547&4|1148&3|20&4|714&4
476&3|298&3|323&1|813&2|880&5|294&3|289&4|1160&5|269&3|25&3|93&4|257&4;412&4|411&4|237&5|1047&1;476&3|298&3|323&1|813&2|880&5|294&3|289&4|1160&5|269&3|25&3|93&4|257&4|412&4|411&4|237&5|1047&1
127&5|751&3|289&4|150&4|313&3|124&4|325&2|276&4|100&4|302&5|340&3|116&4;197&4|191&4|182&4|521&5;127&5|751&3|289&4|150&4|313&3|124&4|325&2|276&4|100&4|302&5|340&3|116&4|197&4|191&4|182&4|521&5
127&5|779&2|615&4|753&3|831&2|198&3|99&3|921&3|433&3|582&4|982&2|887&4;558&3|227&3|14&4|264&3;127&5|779&2|615&4|753&3|831&2|198&3|99&3|921&3|433&3|582&4|982&2|887&4|558&3|227&3|14&4|264&3
285&5|79&4|210&3|508&4|216&4|382&4|64&5|710&3|580&2|202&3|428&4|367&3;72&3|866&3|712&3|517&4;285&5|79&4|210&3|508&4|216&4|382&4|64&5|710&3|580&2|202&3|428&4|367&3|72&3|866&3|712&3|517&4
340&5|245&3|678&2|687&3|327&4|948&1|333&5|271&4|323&2|309&5|286&5|307&3;39&1|644&3|12&5|175&2;340&5|245&3|678&2|687&3|327&4|948&1|333&5|271&4|323&2|309&5|286&5|307&3|39&1|644&3|12&5|175&2
127&5|678&4|50&5|89&5|1028&4|1013&3|222&4|97&5|978&4|820&4|409&3|258&5;449&4|233&4|342&4|249&3;127&5|678&4|50&5|89&5|1028&4|1013&3|222&4|97&5|978&4|820&4|409&3|258&5|449&4|233&4|342&4|249&3
161&5|569&2|173&5|402&4|642&3|562&2|49&3|228&3|118&4|38&3|195&4|748&4;28&3|575&3|795&1|151&3;161&5|569&2|173&5|402&4|642&3|562&2|49&3|228&3|118&4|38&3|195&4|748&4|28&3|575&3|795&1|151&3
323&3|313&5|895&2|326&4|873&2|258&3|288&3|243&2|294&4|334&2|681&2|876&3;50&3|181&3|322&3|471&4;323&3|313&5|895&2|326&4|873&2|258&3|288&3|243&2|294&4|334&2|681&2|876&3|50&3|181&3|322&3|471&4
